num_stops,time_stopped,average_moving_speed,characteristic_acceleration,aerodynamic_speed_squared,change_ in_kinetic_energy,change_in_potential_energy,class
7.0,7.0,93.0,34,8.4,4,25.6,9
7.0,7.0,91.0,34,8.3,4,25.7,9
8.9,8.9,151.0,26,10.9,6,15.1,12
9.3,9.3,160.0,25,11.3,6,13.7,13
8.4,8.4,158.0,25,11.2,6,13.8,13
9.2,9.2,167.0,24,11.6,6,12.4,13
9.0,9.0,155.0,25,11.1,6,13.9,12
10.0,10.0,201.0,22,13.1,6,8.9,15
9.0,9.0,167.0,24,11.6,6,12.4,13
8.2,8.2,148.0,26,10.8,6,15.2,12
8.2,8.2,137.0,27,10.3,6,16.7,12
8.5,8.5,144.0,27,10.6,6,16.4,12
9.2,9.2,155.0,25,11.1,6,13.9,12
9.7,9.7,162.0,25,11.4,6,13.6,12
9.7,9.7,162.0,25,11.4,6,13.6,12
9.3,9.3,155.0,25,11.1,6,13.9,12
8.4,8.4,151.0,26,10.9,6,15.1,13
9.3,9.3,164.0,25,11.5,5,13.5,13
14.8,14.8,337.0,15,19.0,8,4.0,22
14.8,14.8,337.0,15,19.0,8,4.0,22
14.8,14.8,339.0,15,19.1,8,4.10,22
13.7,13.7,328.0,15,18.6,8,3.60,22
14.6,14.6,342.0,15,19.2,8,4.19,22
15.3,15.3,351.0,14,19.6,8,5.60,23
13.7,13.7,328.0,15,18.6,8,3.60,22
13.7,13.7,328.0,15,18.6,8,3.60,22
7.6,7.6,121.0,29,9.6,4,19.4,11
6.9,6.9,107.0,31,9.0,4,22.0,10
7.6,7.6,121.0,29,9.6,4,19.4,11
6.8,6.8,105.0,32,8.9,4,23.1,10
7.5,7.5,121.0,29,9.6,4,19.4,11
6.8,6.8,105.0,32,8.9,4,23.1,10
7.6,7.6,128.0,29,9.9,6,19.1,11
7.6,7.6,128.0,29,9.9,6,19.1,11
7.8,7.8,132.0,28,10.1,6,17.9,11
7.7,7.7,135.0,28,10.2,6,17.8,12
7.8,7.8,132.0,28,10.1,6,17.9,11
7.7,7.7,135.0,28,10.2,6,17.8,12
8.5,8.5,148.0,26,10.8,6,15.2,12
7.7,7.7,135.0,28,10.2,6,17.8,12
8.5,8.5,169.0,24,11.7,8,12.3,14
9.1,9.1,183.0,23,12.3,8,10.7,14
8.5,8.5,169.0,24,11.7,8,12.3,14
8.5,8.5,160.0,25,11.3,8,13.7,13
9.3,9.3,201.0,22,13.1,8,8.9,16
9.2,9.2,178.0,23,12.1,8,10.9,14
9.2,9.2,178.0,23,12.1,8,10.9,14
10.8,10.8,229.0,20,14.3,12,5.69,17
9.2,9.2,178.0,23,12.1,8,10.9,14
10.8,10.8,229.0,20,14.3,12,5.69,17
6.9,6.9,98.0,33,8.6,4,24.4,9
7.8,7.8,146.0,26,10.7,6,15.3,13
7.3,7.3,114.0,30,9.3,4,20.7,10
7.8,7.8,146.0,26,10.7,6,15.3,13
7.8,7.8,144.0,27,10.6,6,16.4,12
8.8,8.8,174.0,24,11.9,6,12.1,14
7.8,7.8,144.0,27,10.6,6,16.4,12
7.8,7.8,146.0,26,10.7,6,15.3,13
7.8,7.8,144.0,27,10.6,6,16.4,12
8.8,8.8,174.0,24,11.9,6,12.1,14
8.6,8.6,167.0,24,11.6,8,12.4,14
8.6,8.6,167.0,24,11.6,8,12.4,14
7.4,7.4,121.0,29,9.6,4,19.4,11
8.3,8.3,146.0,26,10.7,6,15.3,12
8.7,8.7,171.0,24,11.8,8,12.2,14
8.9,8.9,190.0,22,12.6,8,9.4,15
10.5,10.5,224.0,20,14.1,8,5.9,17
8.7,8.7,171.0,24,11.8,8,12.2,14
8.6,8.6,167.0,24,11.6,8,12.4,14
10.5,10.5,224.0,20,14.1,8,5.9,17
8.7,8.7,171.0,24,11.8,8,12.2,14
6.9,6.9,98.0,33,8.6,4,24.4,9
7.4,7.4,121.0,29,9.6,6,19.4,11
6.1,6.1,91.0,34,8.3,4,25.7,10
7.6,7.6,132.0,28,10.1,6,17.9,12
8.7,8.7,167.0,24,11.6,8,12.4,14
7.6,7.6,132.0,28,10.1,6,17.9,12
8.7,8.7,178.0,23,12.1,8,10.9,14
8.4,8.4,153.0,26,11.0,8,15.0,13
8.6,8.6,167.0,24,11.6,8,12.4,14
8.6,8.6,167.0,24,11.6,8,12.4,14
7.0,7.0,98.0,33,8.6,4,24.4,9
7.4,7.4,121.0,29,9.6,4,19.4,11
6.1,6.1,91.0,34,8.3,4,25.7,10
7.2,7.2,125.0,29,9.8,4,19.2,12
6.9,6.9,98.0,33,8.6,4,24.4,9
7.4,7.4,121.0,29,9.6,6,19.4,11
8.7,8.7,178.0,23,12.1,8,10.9,14
8.6,8.6,164.0,25,11.5,8,13.5,13
8.6,8.6,167.0,24,11.6,8,12.4,14
8.2,8.2,160.0,25,11.3,6,13.7,13
7.8,7.8,146.0,26,10.7,6,15.3,13
8.2,8.2,160.0,25,11.3,6,13.7,13
7.8,7.8,146.0,26,10.7,6,15.3,13
7.5,7.5,125.0,29,9.8,6,19.2,11
7.9,7.9,139.0,27,10.4,6,16.6,12
8.4,8.4,160.0,25,11.3,6,13.7,13
7.5,7.5,125.0,29,9.8,6,19.2,11
8.4,8.4,160.0,25,11.3,6,13.7,13
8.4,8.4,160.0,25,11.3,6,13.7,13
7.0,7.0,109.0,31,9.1,4,21.9,10
7.8,7.8,130.0,28,10.0,6,18.0,11
6.6,6.6,100.0,32,8.7,4,23.3,10
7.0,7.0,109.0,31,9.1,4,21.9,10
7.8,7.8,130.0,28,10.0,6,18.0,11
6.6,6.6,100.0,32,8.7,4,23.3,10
6.6,6.6,70.0,38,7.4,4,30.6,8
6.5,6.5,82.0,36,7.9,4,28.1,9
5.5,5.5,47.0,44,6.4,4,37.6,7
6.4,6.4,79.0,36,7.8,4,28.2,8
7.9,7.9,139.0,27,10.4,6,16.6,12
8.4,8.4,160.0,25,11.3,6,13.7,13
8.4,8.4,151.0,26,10.9,6,15.1,12
6.7,6.7,84.0,35,8.0,4,27.0,9
5.6,5.6,63.0,40,7.1,4,32.9,8
7.3,7.3,107.0,31,9.0,4,22.0,10
5.9,5.9,70.0,38,7.4,4,30.6,8
7.8,7.8,114.0,30,9.3,4,20.7,10
8.2,8.2,125.0,29,9.8,6,19.2,11
9.1,9.1,160.0,25,11.3,6,13.7,13
8.7,8.7,146.0,26,10.7,6,15.3,12
8.9,8.9,160.0,25,11.3,6,13.7,13
7.5,7.5,125.0,29,9.8,6,19.2,11
6.3,6.3,84.0,35,8.0,4,27.0,9
10.0,10.0,250.0,19,15.2,10,3.80,19
6.6,6.6,70.0,38,7.4,4,30.6,8
6.5,6.5,82.0,36,7.9,4,28.1,9
5.5,5.5,47.0,44,6.4,4,37.6,7
6.4,6.4,79.0,36,7.8,4,28.2,8
9.3,9.3,158.0,25,11.2,4,13.8,12
8.9,8.9,137.0,27,10.3,4,16.7,11
7.5,7.5,105.0,32,8.9,4,23.1,10
8.3,8.3,135.0,28,10.2,4,17.8,11
7.3,7.3,98.0,33,8.6,4,24.4,9
8.0,8.0,116.0,30,9.4,4,20.6,10
7.0,7.0,109.0,31,9.1,4,21.9,10
6.7,6.7,102.0,32,8.8,4,23.2,10
8.8,8.8,146.0,26,10.7,4,15.3,12
8.0,8.0,125.0,29,9.8,4,19.2,11
7.9,7.9,139.0,27,10.4,6,16.6,12
8.4,8.4,160.0,25,11.3,6,13.7,13
11.4,11.4,256.0,18,15.5,8,2.5,18
13.8,13.8,337.0,15,19.0,12,4.0,23
14.4,14.4,351.0,14,19.6,8,5.60,23
6.4,6.4,68.0,39,7.3,4,31.7,8
5.1,5.1,36.0,48,5.9,4,42.1,6
6.8,6.8,95.0,33,8.5,4,24.5,9
7.1,7.1,112.0,31,9.2,6,21.8,10
6.2,6.2,86.0,35,8.1,4,26.9,9
7.4,7.4,123.0,29,9.7,6,19.3,11
8.4,8.4,158.0,25,11.2,8,13.8,13
7.5,7.5,109.0,31,9.1,4,21.9,10
6.2,6.2,79.0,36,7.8,4,28.2,9
7.1,7.1,95.0,33,8.5,4,24.5,9
5.8,5.8,61.0,40,7.0,4,33.0,7
6.2,6.2,79.0,36,7.8,4,28.2,9
5.8,5.8,61.0,40,7.0,4,33.0,7
9.1,9.1,169.0,24,11.7,8,12.3,13
8.8,8.8,174.0,24,11.9,8,12.1,14
7.5,7.5,130.0,28,10.0,6,18.0,12
7.3,7.3,123.0,29,9.7,6,19.3,11
7.0,7.0,105.0,32,8.9,4,23.1,10
8.3,8.3,135.0,28,10.2,6,17.8,11
6.5,6.5,84.0,35,8.0,4,27.0,9
8.2,8.2,130.0,28,10.0,6,18.0,11
7.8,7.8,137.0,27,10.3,6,16.7,12
7.3,7.3,128.0,29,9.9,6,19.1,12
8.3,8.3,153.0,26,11.0,6,15.0,13
8.2,8.2,148.0,26,10.8,6,15.2,12
7.3,7.3,128.0,29,9.9,6,19.1,12
8.3,8.3,151.0,26,10.9,6,15.1,13
8.5,8.5,146.0,26,10.7,6,15.3,12
8.4,8.4,158.0,25,11.2,8,13.8,13
8.8,8.8,160.0,25,11.3,6,13.7,13
8.3,8.3,148.0,26,10.8,6,15.2,12
6.2,6.2,63.0,40,7.1,4,32.9,7
4.3,4.3,13.0,58,4.9,3,53.1,5
4.9,4.9,31.0,50,5.7,4,44.3,6
7.3,7.3,107.0,31,9.0,4,22.0,10
6.9,6.9,91.0,34,8.3,4,25.7,9
7.3,7.3,105.0,32,8.9,4,23.1,10
7.0,7.0,93.0,34,8.4,4,25.6,9
8.8,8.8,148.0,26,10.8,6,15.2,12
7.9,7.9,121.0,29,9.6,4,19.4,11
7.3,7.3,98.0,33,8.6,4,24.4,9
6.0,6.0,70.0,38,7.4,4,30.6,8
5.0,5.0,36.0,48,5.9,4,42.1,6
6.5,6.5,86.0,35,8.1,4,26.9,9
6.1,6.1,68.0,39,7.3,4,31.7,8
6.5,6.5,86.0,35,8.1,4,26.9,9
6.1,6.1,68.0,39,7.3,4,31.7,8
7.0,7.0,89.0,34,8.2,4,25.8,9
8.2,8.2,123.0,29,9.7,4,19.3,10
8.2,8.2,118.0,30,9.5,4,20.5,10
8.5,8.5,125.0,29,9.8,4,19.2,10
5.8,5.8,68.0,39,7.3,4,31.7,8
5.7,5.7,61.0,40,7.0,4,33.0,8
7.5,7.5,112.0,31,9.2,4,21.8,10
7.3,7.3,112.0,31,9.2,4,21.8,10
7.6,7.6,118.0,30,9.5,4,20.5,11
5.9,5.9,75.0,37,7.6,4,29.4,9
5.7,5.7,59.0,41,6.9,4,34.1,7
6.1,6.1,70.0,38,7.4,4,30.6,8
7.5,7.5,114.0,30,9.3,4,20.7,10
8.8,8.8,155.0,25,11.1,6,13.9,12
7.5,7.5,116.0,30,9.4,4,20.6,10
7.5,7.5,112.0,31,9.2,4,21.8,10
6.8,6.8,95.0,33,8.5,4,24.5,9
9.3,9.3,160.0,25,11.3,6,13.7,12
9.8,9.8,178.0,23,12.1,8,10.9,13
9.2,9.2,167.0,24,11.6,6,12.4,13
13.2,13.2,286.0,17,16.8,12,0.19,19
9.2,9.2,167.0,24,11.6,6,12.4,13
10.3,10.3,210.0,21,13.5,6,7.5,16
8.6,8.6,153.0,26,11.0,6,15.0,12
8.8,8.8,158.0,25,11.2,6,13.8,13
12.9,12.9,277.0,17,16.4,12,0.60,19
13.0,13.0,282.0,17,16.6,12,0.39,19
7.6,7.6,128.0,29,9.9,6,19.1,11
9.4,9.4,169.0,24,11.7,6,12.3,13
9.1,9.1,155.0,25,11.1,8,13.9,12
9.1,9.1,155.0,25,11.1,8,13.9,12
8.6,8.6,158.0,25,11.2,8,13.8,13
8.4,8.4,158.0,25,11.2,8,13.8,13
8.5,8.5,146.0,26,10.7,6,15.3,12
8.4,8.4,158.0,25,11.2,8,13.8,13
8.4,8.4,158.0,25,11.2,8,13.8,13
6.8,6.8,95.0,33,8.5,4,24.5,9
7.1,7.1,112.0,31,9.2,6,21.8,10
6.2,6.2,86.0,35,8.1,4,26.9,9
7.4,7.4,123.0,29,9.7,6,19.3,11
7.3,7.3,128.0,29,9.9,6,19.1,12
7.8,7.8,137.0,27,10.3,6,16.7,12
7.3,7.3,128.0,29,9.9,6,19.1,12
8.3,8.3,151.0,26,10.9,6,15.1,13
7.5,7.5,112.0,31,9.2,4,21.8,10
6.8,6.8,86.0,35,8.1,4,26.9,9
6.3,6.3,79.0,36,7.8,4,28.2,9
5.7,5.7,56.0,42,6.8,4,35.2,7
7.3,7.3,112.0,31,9.2,4,21.8,10
9.0,9.0,153.0,26,11.0,6,15.0,12
6.6,6.6,86.0,35,8.1,4,26.9,9
8.6,8.6,139.0,27,10.4,6,16.6,11
6.8,6.8,91.0,34,8.3,4,25.7,9
6.3,6.3,72.0,38,7.5,4,30.5,8
9.4,9.4,164.0,25,11.5,6,13.5,13
8.0,8.0,137.0,27,10.3,6,16.7,12
8.3,8.3,139.0,27,10.4,6,16.6,12
6.4,6.4,86.0,35,8.1,4,26.9,9
5.9,5.9,66.0,39,7.2,4,31.8,8
8.0,8.0,139.0,27,10.4,6,16.6,12
7.7,7.7,116.0,30,9.4,6,20.6,10
8.2,8.2,121.0,29,9.6,4,19.4,10
8.2,8.2,121.0,29,9.6,4,19.4,10
7.3,7.3,112.0,31,9.2,4,21.8,10
9.0,9.0,153.0,26,11.0,6,15.0,12
6.6,6.6,86.0,35,8.1,4,26.9,9
8.6,8.6,139.0,27,10.4,6,16.6,11
7.5,7.5,112.0,31,9.2,4,21.8,10
6.8,6.8,86.0,35,8.1,4,26.9,9
6.3,6.3,79.0,36,7.8,4,28.2,9
5.7,5.7,59.0,41,6.9,4,34.1,7
7.3,7.3,100.0,32,8.7,4,23.3,9
6.5,6.5,79.0,36,7.8,4,28.2,8
9.0,9.0,171.0,24,11.8,2,12.2,14
7.6,7.6,109.0,31,9.1,4,21.9,10
8.5,8.5,139.0,27,10.4,6,16.6,12
6.7,6.7,116.0,35,8.0,6,27.0,9
8.4,8.4,137.0,27,10.3,6,16.7,11
9.2,9.2,160.0,25,11.3,6,13.7,13
8.3,8.3,137.0,27,10.3,6,16.7,11
9.0,9.0,155.0,25,11.1,6,13.9,12
8.9,8.9,160.0,25,11.3,8,13.7,13
8.9,8.9,167.0,24,11.6,6,12.4,13
8.9,8.9,167.0,24,11.6,6,12.4,13
7.7,7.7,159.0,29,9.6,6,19.4,11
10.6,10.6,204.0,21,13.2,8,7.80,15
11.2,11.2,217.0,20,13.8,8,6.19,15
10.8,10.8,210.0,21,13.5,8,7.5,15
13.2,13.2,273.0,17,16.2,12,0.80,18
12.5,12.5,266.0,18,15.9,12,2.09,18
8.9,8.9,164.0,25,11.5,6,13.5,13
10.4,10.4,197.0,22,12.9,8,9.1,14
12.0,12.0,247.0,19,15.1,12,3.90,17
5.9,5.9,68.0,39,7.3,4,31.7,8
6.9,6.9,100.0,32,8.7,4,23.3,10
5.4,5.4,56.0,42,6.8,4,35.2,7
6.9,6.9,98.0,33,8.6,4,24.4,10
8.2,8.2,130.0,28,10.0,4,18.0,11
7.8,7.8,116.0,30,9.4,4,20.6,10
9.3,9.3,162.0,25,11.4,6,13.6,13
9.1,9.1,155.0,25,11.1,6,13.9,12
9.3,9.3,162.0,25,11.4,6,13.6,13
9.1,9.1,155.0,25,11.1,6,13.9,12
9.2,9.2,164.0,25,11.5,6,13.5,13
9.2,9.2,160.0,25,11.3,6,13.7,13
7.6,7.6,121.0,29,9.6,4,19.4,11
7.1,7.1,98.0,33,8.6,4,24.4,9
7.8,7.8,125.0,29,9.8,6,19.2,11
8.0,8.0,118.0,30,9.5,6,20.5,10
5.9,5.9,68.0,39,7.3,4,31.7,8
5.4,5.4,56.0,42,6.8,4,35.2,7
6.3,6.3,79.0,36,7.8,4,28.2,9
5.7,5.7,61.0,40,7.0,4,33.0,8
7.5,7.5,128.0,29,9.9,4,19.1,11
7.4,7.4,121.0,29,9.6,4,19.4,11
7.9,7.9,144.0,27,10.6,6,16.4,12
7.2,7.2,125.0,29,9.8,4,19.2,12
8.9,8.9,171.0,24,11.8,8,12.2,14
6.9,6.9,98.0,33,8.6,4,24.4,9
7.8,7.8,146.0,26,10.7,6,15.3,13
7.8,7.8,146.0,26,10.7,6,15.3,13
8.3,8.3,162.0,25,11.4,6,13.6,13
7.8,7.8,146.0,26,10.7,6,15.3,13
8.8,8.8,174.0,24,11.9,6,12.1,14
8.4,8.4,162.0,25,11.4,6,13.6,13
8.8,8.8,174.0,24,11.9,6,12.1,14
7.8,7.8,144.0,27,10.6,6,16.4,12
7.8,7.8,114.0,30,9.3,4,20.7,10
8.2,8.2,125.0,29,9.8,6,19.2,11
6.6,6.6,70.0,38,7.4,4,30.6,8
6.5,6.5,82.0,36,7.9,4,28.1,9
5.5,5.5,47.0,44,6.4,4,37.6,7
6.4,6.4,79.0,36,7.8,4,28.2,8
6.7,6.7,84.0,35,8.0,4,27.0,9
5.6,5.6,63.0,40,7.1,4,32.9,8
7.3,7.3,107.0,31,9.0,4,22.0,10
5.9,5.9,70.0,38,7.4,4,30.6,8
8.8,8.8,174.0,24,11.9,6,12.1,14
8.3,8.3,160.0,25,11.3,6,13.7,13
7.6,7.6,132.0,28,10.1,6,17.9,12
8.6,8.6,164.0,25,11.5,8,13.5,13
7.6,7.6,132.0,28,10.1,6,17.9,12
8.7,8.7,178.0,23,12.1,8,10.9,14
6.2,6.2,63.0,40,7.1,4,32.9,7
4.3,4.3,13.0,58,4.9,3,53.1,5
4.9,4.9,31.0,50,5.7,4,44.3,6
7.6,7.6,132.0,28,10.1,6,17.9,12
8.6,8.6,164.0,25,11.5,8,13.5,13
7.6,7.6,132.0,28,10.1,6,17.9,12
8.7,8.7,178.0,23,12.1,8,10.9,14
7.5,7.5,128.0,29,9.9,4,19.1,11
7.3,7.3,121.0,29,9.6,4,19.4,11
8.2,8.2,146.0,26,10.7,6,15.3,12
7.2,7.2,125.0,29,9.8,4,19.2,12
8.3,8.3,162.0,25,11.4,6,13.6,13
7.8,7.8,146.0,26,10.7,6,15.3,13
6.9,6.9,98.0,33,8.6,4,24.4,9
7.4,7.4,121.0,29,9.6,4,19.4,11
6.1,6.1,91.0,34,8.3,4,25.7,10
7.2,7.2,125.0,29,9.8,4,19.2,12
8.8,8.8,171.0,24,11.8,4,12.2,14
8.4,8.4,162.0,25,11.4,4,13.6,13
8.9,8.9,164.0,25,11.5,6,13.5,13
